customerID,SeniorCitizen,tenure,ServiceCount,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TotChargesAct
5954-BDFSG,0,72,7,Two year,Yes,107.5,7853.7,No,7853.7
0434-CSFON,0,47,6,Month-to-month,Yes,100.5,4707.1,No,4707.1
1215-FIGMP,0,60,5,Month-to-month,Yes,89.9,5450.7,No,5450.7
0526-SXDJP,0,72,4,Two year,No,42.1,2962,No,2962
0557-ASKVU,0,18,4,One year,Yes,54.4,957.1,No,957.1
5698-BQJOH,0,9,5,Month-to-month,No,94.4,857.25,Yes,857.25
5122-CYFXA,0,3,6,Month-to-month,Yes,75.3,244.1,No,244.1
8627-ZYGSZ,0,47,4,One year,Yes,78.9,3650.35,No,3650.35
3410-YOQBQ,0,31,7,Two year,No,79.2,2497.2,No,2497.2
3170-NMYVV,0,50,7,Two year,No,20.15,930.9,No,930.9
7410-OIEDU,0,10,4,Month-to-month,Yes,79.85,887.35,No,887.35
2273-QCKXA,0,1,3,Month-to-month,No,49.05,49.05,No,49.05
0731-EBJQB,0,52,7,One year,Yes,20.4,1090.65,No,1090.65
1891-QRQSA,1,64,8,Two year,Yes,111.6,7099,No,7099
8028-PNXHQ,0,62,8,Two year,Yes,24.25,1424.6,No,1424.6
5630-AHZIL,0,3,5,Month-to-month,Yes,64.5,177.4,No,177.4
2673-CXQEU,1,56,8,One year,No,110.5,6139.5,No,6139.5
6416-JNVRK,0,46,3,One year,No,55.65,2688.85,No,2688.85
5590-ZSKRV,0,8,4,Month-to-month,No,54.65,482.25,No,482.25
0191-ZHSKZ,1,30,6,Month-to-month,Yes,74.75,2111.3,No,2111.3
3887-PBQAO,0,45,8,One year,Yes,25.9,1216.6,No,1216.6
5919-TMRGD,0,1,3,Month-to-month,Yes,79.35,79.35,Yes,79.35
8108-UXRQN,0,11,4,Month-to-month,No,50.55,565.35,No,565.35
9191-MYQKX,0,7,3,Month-to-month,Yes,75.15,496.9,Yes,496.9
9919-YLNNG,0,42,7,Month-to-month,Yes,103.8,4327.5,No,4327.5
0318-ZOPWS,0,49,7,Two year,Yes,20.15,973.35,No,973.35
4445-ZJNMU,0,9,6,Month-to-month,Yes,99.3,918.75,No,918.75
4808-YNLEU,0,35,4,One year,Yes,62.15,2215.45,No,2215.45
1862-QRWPE,0,48,7,Two year,No,20.65,1057,No,1057
2796-NNUFI,0,46,7,Two year,Yes,19.95,927.1,No,927.1
3016-KSVCP,0,29,2,Month-to-month,No,33.75,1009.25,No,1009.25
4767-HZZHQ,0,30,4,Month-to-month,No,82.05,2570.2,No,2570.2
2424-WVHPL,1,1,3,Month-to-month,No,74.7,74.7,No,74.7
7233-PAHHL,0,66,8,Two year,Yes,84,5714.25,No,5714.25
6067-NGCEU,0,65,8,Month-to-month,Yes,111.05,7107,No,7107
9848-JQJTX,0,72,7,Two year,Yes,100.9,7459.05,No,7459.05
8637-XJIVR,0,12,4,Month-to-month,Yes,78.95,927.35,Yes,927.35
9803-FTJCG,0,71,6,One year,Yes,66.85,4748.7,No,4748.7
0278-YXOOG,0,5,7,Month-to-month,No,21.05,113.85,Yes,113.85
3212-KXOCR,0,52,7,Two year,No,21,1107.2,No,1107.2
4598-XLKNJ,1,25,6,Month-to-month,Yes,98.5,2514.5,Yes,2514.5
6380-ARCEH,0,1,7,Month-to-month,No,20.2,20.2,No,20.2
3679-XASPY,0,1,7,Month-to-month,No,19.45,19.45,No,19.45
7123-WQUHX,0,38,6,One year,No,95,3605.6,No,3605.6
5386-THSLQ,1,66,4,One year,No,45.55,3027.25,No,3027.25
3192-NQECA,0,68,8,Two year,Yes,110,7611.85,Yes,7611.85
6180-YBIQI,0,5,1,Month-to-month,No,24.3,100.2,No,100.2
6728-DKUCO,0,72,7,One year,Yes,104.15,7303.05,No,7303.05
9750-BOOHV,0,32,2,One year,No,30.15,927.65,No,927.65
8597-CWYHH,0,43,5,One year,No,94.35,3921.3,No,3921.3
2848-YXSMW,0,72,7,Two year,No,19.4,1363.25,No,1363.25
0486-HECZI,0,55,6,Month-to-month,Yes,96.75,5238.9,Yes,5238.9
4549-ZDQYY,0,52,5,One year,No,57.95,3042.25,No,3042.25
5712-AHQNN,0,43,5,Month-to-month,Yes,91.65,3954.1,No,3954.1
4846-WHAFZ,1,37,3,Month-to-month,Yes,76.5,2868.15,Yes,2868.15
5256-SKJGO,0,64,5,Two year,Yes,54.6,3423.5,No,3423.5
3071-VBYPO,0,3,5,Month-to-month,No,89.85,248.4,No,248.4
9560-BBZXK,0,36,2,Two year,No,31.05,1126.35,No,1126.35
5299-RULOA,0,10,6,Month-to-month,Yes,100.25,1064.65,Yes,1064.65
8402-OOOHJ,0,41,7,Two year,No,20.65,835.15,No,835.15
9445-ZUEQE,0,27,5,Month-to-month,Yes,85.2,2151.6,No,2151.6
1091-SOZGA,0,56,6,One year,Yes,99.8,5515.45,No,5515.45
2928-HLDBA,0,6,7,Month-to-month,No,20.7,112.75,No,112.75
0404-SWRVG,0,3,3,Month-to-month,Yes,74.4,229.55,Yes,229.55
6497-TILVL,0,7,3,Month-to-month,No,50.7,350.35,No,350.35
7219-TLZHO,0,4,7,Month-to-month,No,20.85,62.9,No,62.9
4622-YNKIJ,0,33,5,Two year,Yes,88.95,3027.65,No,3027.65
4412-YLTKF,1,27,4,Month-to-month,Yes,78.05,2135.5,Yes,2135.5
6734-PSBAW,0,72,8,Two year,Yes,23.55,1723.95,No,1723.95
3930-ZGWVE,0,1,7,Month-to-month,No,19.75,19.75,No,19.75
2639-UGMAZ,1,71,5,One year,Yes,56.45,3985.35,No,3985.35
2876-GZYZC,0,13,4,Month-to-month,Yes,85.95,1215.65,No,1215.65
6207-WIOLX,0,25,6,Month-to-month,Yes,58.6,1502.65,Yes,1502.65
8587-XYZSF,0,67,3,Two year,No,50.55,3260.1,No,3260.1
3091-FYHKI,0,1,2,Month-to-month,Yes,35.45,35.45,Yes,35.45
2372-HWUHI,0,2,2,Month-to-month,No,44.35,81.25,Yes,81.25
7799-LGRDP,0,43,8,Two year,Yes,25.7,1188.2,No,1188.2
7850-VWJUU,0,23,3,Month-to-month,Yes,75,1778.5,No,1778.5
3774-VBNXY,0,64,7,Two year,No,20.2,1277.75,No,1277.75
6217-KDYWC,0,57,7,Two year,Yes,19.6,1170.55,No,1170.55
0390-DCFDQ,1,1,2,Month-to-month,Yes,70.45,70.45,Yes,70.45
3146-MSEGF,1,72,9,Two year,Yes,88.05,6425.65,No,6425.65
4080-OGPJL,0,8,6,Month-to-month,No,71.15,563.65,Yes,563.65
1095-WGNGG,0,61,6,Two year,Yes,101.05,5971.25,No,5971.25
2636-SJDOU,0,64,5,One year,Yes,84.3,5289.05,No,5289.05
1131-QQZEB,1,71,8,Two year,No,23.95,1756.2,No,1756.2
5716-EZXZN,0,65,7,Two year,Yes,99.05,6416.7,No,6416.7
6837-BJYDQ,0,3,7,One year,No,19.6,61.35,No,61.35
2135-RXIHG,0,1,2,Month-to-month,Yes,45.65,45.65,Yes,45.65
6440-DKQGE,0,30,5,One year,No,64.5,1929.95,No,1929.95
3466-BYAVD,0,15,6,Month-to-month,Yes,69.5,1071.4,No,1071.4
3780-YVMFA,0,8,5,Month-to-month,Yes,68.55,564.35,No,564.35
3874-EQOEP,0,7,5,Month-to-month,No,95,655.5,Yes,655.5
1679-JRFBR,0,70,8,One year,Yes,108.15,7930.55,No,7930.55
9073-ZZIAY,0,62,8,Two year,No,86.1,5215.25,No,5215.25
3077-RSNTJ,0,6,7,Month-to-month,No,19.7,113.5,No,113.5
6551-GNYDG,0,14,3,Month-to-month,Yes,80.9,1152.8,No,1152.8
9167-APMXZ,0,22,4,Month-to-month,Yes,84.15,1821.95,No,1821.95
2749-CTKAJ,0,22,7,One year,No,20.15,419.9,No,419.9
6371-NZYEG,0,16,5,Two year,No,64.25,1024,No,1024
7554-NEWDD,0,10,8,Two year,No,25.7,251.6,No,251.6
8992-VONJD,0,13,4,Month-to-month,Yes,56,764.55,No,764.55
0867-MKZVY,0,20,4,Month-to-month,No,82.4,1592.35,Yes,1592.35
4482-EWFMI,0,2,2,Month-to-month,Yes,69.7,135.2,No,135.2
4648-YPBTM,0,53,7,Two year,Yes,73.9,3958.25,No,3958.25
2907-ILJBN,0,11,7,One year,No,20.6,233.9,No,233.9
6345-FZOQH,0,69,7,Two year,No,19.9,1363.45,No,1363.45
3376-BMGFE,0,4,2,Month-to-month,Yes,70.9,273,Yes,273
5997-OPVFA,0,72,9,Two year,Yes,89.05,6254.45,No,6254.45
3445-HXXGF,1,58,4,Month-to-month,Yes,45.3,2651.2,Yes,2651.2
1159-WFSGR,0,16,7,Month-to-month,No,20.4,321.4,No,321.4
7654-YWJUF,0,43,5,One year,Yes,84.25,3539.25,No,3539.25
1875-QIVME,0,2,7,Month-to-month,Yes,104.4,242.8,Yes,242.8
6727-IOTLZ,0,14,7,Two year,No,81.95,1181.75,No,1181.75
0691-JVSYA,0,53,5,One year,Yes,94.85,5000.2,Yes,5000.2
5918-VUKWP,0,32,7,One year,No,20.55,654.55,No,654.55
1744-JHKYS,0,34,8,Month-to-month,No,24.7,780.2,No,780.2
2656-FMOKZ,1,15,3,Month-to-month,Yes,74.45,1145.7,Yes,1145.7
2070-FNEXE,1,7,3,Month-to-month,No,76.45,503.6,Yes,503.6
5947-SGKCL,0,15,7,Month-to-month,Yes,105.35,1559.25,No,1559.25
3712-PKXZA,0,61,7,One year,Yes,20.55,1252,No,1252
6317-YPKDH,0,1,2,Month-to-month,No,29.95,29.95,Yes,29.95
6582-OIVSP,0,1,2,Month-to-month,No,45.3,45.3,No,45.3
9367-WXLCH,0,8,4,Month-to-month,No,84.5,662.65,Yes,662.65
5524-KHNJP,0,33,6,One year,No,74.75,2453.3,No,2453.3
1918-ZBFQJ,0,13,4,Month-to-month,Yes,79.25,1111.65,Yes,1111.65
1024-GUALD,0,1,1,Month-to-month,Yes,24.8,24.8,Yes,24.8
4827-USJHP,0,20,3,Month-to-month,Yes,51.8,1023.85,No,1023.85
8167-GJLRN,0,3,2,Month-to-month,No,30.4,82.15,No,82.15
0956-SYCWG,0,13,7,One year,No,19.65,244.8,No,244.8
8017-UVSZU,0,40,4,Month-to-month,No,56.6,2379.1,No,2379.1
7100-FQPRV,0,43,6,One year,Yes,71.9,3173.35,No,3173.35
2472-OVKUP,0,6,5,Month-to-month,Yes,91,531,Yes,531
2984-RGEYA,0,69,7,Two year,No,19.75,1375.4,No,1375.4
9680-NIAUV,0,72,8,Two year,No,109.7,8129.3,No,8129.3
2146-EGVDT,0,59,7,Two year,No,19.3,1192.7,No,1192.7
2604-IJPDU,0,20,6,Month-to-month,Yes,96.55,1901.65,No,1901.65
9178-JHUVJ,0,24,8,Two year,Yes,24.1,587.4,No,587.4
6168-YBYNP,0,59,8,Month-to-month,Yes,111.35,6519.75,No,6519.75
7255-SSFBC,0,72,8,Two year,Yes,112.25,8041.65,No,8041.65
3645-DEYGF,0,1,7,Month-to-month,No,20.75,20.75,No,20.75
9323-HGFWY,0,27,6,One year,Yes,101.9,2681.15,No,2681.15
8544-GOQSH,0,14,4,Month-to-month,Yes,80.05,1112.3,No,1112.3
3363-DTIVD,0,71,7,Two year,No,105.55,7405.5,No,7405.5
7018-WBJNK,0,13,3,Month-to-month,Yes,78.3,1033.95,No,1033.95
9142-KZXOP,0,44,2,Month-to-month,No,68.85,2958.95,No,2958.95
7674-YTAFD,0,33,4,One year,Yes,79.95,2684.85,No,2684.85
6348-SNFUS,0,72,6,Two year,Yes,55.45,4179.2,No,4179.2
1285-OKIPP,0,1,3,Month-to-month,No,79.9,79.9,Yes,79.9
7825-ECJRF,0,19,7,Month-to-month,Yes,106.6,1934.45,Yes,1934.45
1347-KTTTA,0,64,7,One year,Yes,102.45,6654.1,No,6654.1
7841-TZDMQ,0,2,2,Month-to-month,Yes,46,84.5,Yes,84.5
4195-NZGTA,0,1,1,Month-to-month,No,25.25,25.25,No,25.25
7157-SMCFK,0,61,7,Two year,No,19.75,1124.2,No,1124.2
4709-LKHYG,0,29,7,One year,No,20,540.05,No,540.05
2504-DSHIH,1,23,4,Month-to-month,No,86.8,1975.85,No,1975.85
0699-NDKJM,0,57,6,Month-to-month,Yes,58.75,3437.45,No,3437.45
9286-BHDQG,0,72,5,Two year,No,45.25,3139.8,No,3139.8
0230-WEQUW,0,66,6,Two year,Yes,56.6,3789.2,No,3789.2
2040-LDIWQ,0,65,8,Two year,Yes,84.2,5324.5,No,5324.5
6496-JDSSB,0,8,3,Month-to-month,Yes,80,624.6,No,624.6
9408-SSNVZ,0,4,2,Month-to-month,Yes,70.15,268.35,Yes,268.35
4443-EMBNA,0,71,8,Two year,No,24.75,1836.9,No,1836.9
6469-MRVET,0,1,7,One year,Yes,20.2,20.2,No,20.2
0742-MOABM,0,4,3,Month-to-month,No,50.05,179.35,Yes,179.35
5961-VUSRV,0,12,7,One year,Yes,19.35,219.35,No,219.35
6778-JFCMK,0,24,4,One year,Yes,50.6,1288.75,No,1288.75
6341-JVQGF,0,31,7,One year,Yes,81.15,2545.75,No,2545.75
2232-DMLXU,0,1,3,Month-to-month,No,55.2,55.2,Yes,55.2
4811-JBUVU,0,30,5,Month-to-month,Yes,89.9,2723.15,No,2723.15
0945-TSONX,0,47,8,Two year,Yes,85.3,4107.25,No,4107.25
2651-ZCBXV,0,54,8,Two year,Yes,108,5760.65,No,5760.65
3316-UWXUY,0,50,6,Month-to-month,Yes,93.5,4747.5,No,4747.5
8937-RDTHP,0,1,4,Month-to-month,Yes,84.6,84.6,Yes,84.6
7083-MIOPC,0,72,7,Two year,No,20.25,1566.9,No,1566.9
1984-GPTEH,0,29,8,Month-to-month,No,25.15,702,No,702
1251-KRREG,0,2,4,Month-to-month,Yes,54.4,114.1,Yes,114.1
0621-JFHOL,0,10,2,Two year,Yes,29.6,299.05,No,299.05
9903-LYSAB,0,18,3,Month-to-month,Yes,73.15,1305.95,No,1305.95
0094-OIFMO,1,11,5,Month-to-month,Yes,95,1120.3,Yes,1120.3
9227-UAQFT,0,16,7,Two year,No,19.75,284.35,No,284.35
7301-ABVAD,0,72,8,Two year,No,86.6,6350.5,No,6350.5
6614-FHDBO,0,72,8,Two year,No,109.2,7878.3,No,7878.3
7576-ASEJU,0,41,6,One year,Yes,74.7,3187.65,No,3187.65
9058-HRZSV,1,65,6,Month-to-month,No,94.4,6126.15,No,6126.15
4522-AKYLR,1,13,4,Month-to-month,Yes,54.8,731.3,No,731.3
0221-WMXNQ,1,4,3,Month-to-month,No,75.35,273.4,No,273.4
0303-UNCIP,0,41,5,One year,No,65,2531.8,No,2531.8
9947-OTFQU,1,15,3,Month-to-month,Yes,74.4,1074.3,Yes,1074.3
0322-YINQP,0,1,3,Month-to-month,Yes,48.55,48.55,Yes,48.55
0959-WHOKV,0,42,7,One year,Yes,99,4298.45,No,4298.45
4075-JFPGR,0,51,6,One year,Yes,93.5,4619.55,No,4619.55
4629-NRXKX,0,2,2,Month-to-month,No,70.4,147.15,Yes,147.15
9514-JDSKI,1,1,3,Month-to-month,No,40.2,40.2,Yes,40.2
3282-ZISZV,0,32,8,One year,No,83.7,2633.3,No,2633.3
3675-YDUPJ,0,10,7,Month-to-month,Yes,19.85,193.05,No,193.05
4111-BNXIF,0,67,6,Two year,Yes,59.55,4103.9,No,4103.9
7017-VFHAY,0,61,9,Two year,No,115.1,7008.15,No,7008.15
6655-LHBYW,0,50,9,One year,No,114.35,5791.1,No,5791.1
4959-JOSRX,0,2,2,Month-to-month,Yes,44.6,80.55,Yes,80.55
5046-NUHWD,1,29,4,Month-to-month,Yes,45,1228.65,No,1228.65
7273-TEFQD,1,3,3,Month-to-month,Yes,41.15,132.2,Yes,132.2
3606-TWKGI,1,13,7,Month-to-month,Yes,106.9,1364.3,Yes,1364.3
7529-ZDFXI,1,57,5,Month-to-month,Yes,89.85,4925.35,No,4925.35
7605-BDWDC,0,31,5,Two year,Yes,49.85,1520.1,No,1520.1
1950-KSVVJ,0,45,9,One year,No,113.3,5032.25,No,5032.25
0123-CRBRT,0,61,9,Two year,No,88.1,5526.75,No,5526.75
6292-TOSSS,0,50,8,Two year,No,24.9,1195.25,No,1195.25
3197-ARFOY,1,19,7,Month-to-month,Yes,105,2007.25,No,2007.25
6323-AYBRX,0,59,7,Two year,No,19.35,1099.6,Yes,1099.6
7014-ZZXAW,0,71,8,Two year,Yes,24.25,1732.95,No,1732.95
4385-GZQXV,1,16,5,Month-to-month,Yes,94.45,1511.2,Yes,1511.2
7633-MVPUY,0,57,5,Two year,Yes,59.75,3450.15,No,3450.15
6366-ZGQGL,0,1,1,Month-to-month,No,24.8,24.8,Yes,24.8
4716-HHKQH,1,20,7,Month-to-month,No,107.05,2172.05,No,2172.05
5940-AHUHD,0,1,2,Month-to-month,No,70.6,70.6,Yes,70.6
6432-TWQLB,0,5,5,Month-to-month,Yes,85.4,401.1,Yes,401.1
4484-GLZOU,0,52,7,Month-to-month,Yes,105.05,5624.85,Yes,5624.85
3179-GBRWV,1,21,5,Month-to-month,Yes,64.95,1339.8,No,1339.8
8645-KWHJO,0,14,5,Month-to-month,Yes,55,771.95,No,771.95
4130-MZLCC,0,5,3,Month-to-month,No,50.55,244.75,No,244.75
0314-TKOSI,0,6,4,Month-to-month,No,55.15,322.9,No,322.9
8229-MYEJZ,0,10,3,Month-to-month,No,51.2,498.25,No,498.25
2080-SRCDE,0,1,8,Month-to-month,No,25.4,25.4,No,25.4
9577-WJVCQ,0,68,4,Month-to-month,No,54.45,3687.75,No,3687.75
9512-UIBFX,0,18,5,Month-to-month,No,95.15,1779.95,Yes,1779.95
6202-DYYFX,0,22,3,One year,Yes,76,1783.6,No,1783.6
3808-HFKDE,0,20,2,Month-to-month,Yes,44.35,927.15,No,927.15
5583-SXDAG,0,1,2,Month-to-month,No,70,70,Yes,70
3488-PGMQJ,1,8,3,Month-to-month,Yes,74.5,606.55,Yes,606.55
3580-REOAC,0,10,2,Month-to-month,Yes,44.85,435.4,Yes,435.4
7534-BFESC,1,24,3,Month-to-month,Yes,76.1,1712.7,Yes,1712.7
3727-OWVYD,0,35,5,One year,No,61.2,2021.2,No,2021.2
2294-SALNE,0,23,5,One year,No,86.8,1940.8,No,1940.8
4847-TAJYI,1,6,4,Month-to-month,Yes,89.35,567.8,No,567.8
1563-IWQEX,0,12,7,Month-to-month,No,19.7,220.35,No,220.35
8203-XJZRC,0,1,7,Month-to-month,No,20.25,20.25,No,20.25
6556-DBKZF,0,71,3,Two year,No,76.05,5436.45,No,5436.45
6851-WEFYX,1,35,6,Month-to-month,Yes,100.8,3437.5,No,3437.5
2985-JUUBZ,0,40,6,Month-to-month,Yes,74.55,3015.75,No,3015.75
6390-DSAZX,0,1,3,Month-to-month,Yes,73.6,73.6,Yes,73.6
0895-LMRSF,0,23,4,One year,Yes,64.9,1509.8,No,1509.8
8098-LLAZX,1,4,5,Month-to-month,Yes,95.45,396.1,Yes,396.1
8266-VBFQL,0,4,5,Month-to-month,Yes,90.4,356.65,No,356.65
8181-YHCMF,0,68,6,Two year,No,60.3,4109,No,4109
2240-HSJQD,0,38,4,Month-to-month,Yes,81.85,3141.7,No,3141.7
1248-DYXUB,0,52,8,Two year,No,24.8,1229.1,No,1229.1
0265-EDXBD,1,32,3,Month-to-month,Yes,74.9,2303.35,Yes,2303.35
4115-BNPJY,0,29,6,Two year,No,75.55,2054.4,No,2054.4
3167-SNQPL,1,38,6,Month-to-month,No,101.15,3741.85,No,3741.85
4091-TVOCN,0,48,7,One year,Yes,78.75,3682.45,No,3682.45
1098-TDVUQ,0,1,7,Month-to-month,Yes,19.25,19.25,No,19.25
7277-OZCGZ,0,22,5,Month-to-month,Yes,89.05,1886.25,No,1886.25
1557-EMYVT,0,43,9,Two year,No,115.05,4895.1,No,4895.1
2799-ARNLO,1,5,2,Month-to-month,Yes,69.35,341.6,No,341.6
7563-BIUPC,0,5,3,Month-to-month,Yes,80.6,415.55,Yes,415.55
5027-YOCXN,0,51,8,One year,No,110.05,5686.4,No,5686.4
3973-SKMLN,0,71,7,Two year,Yes,19.9,1355.1,No,1355.1
2321-OMBXY,0,38,7,One year,No,80.3,3058.65,Yes,3058.65
2840-XANRC,1,24,5,Month-to-month,Yes,93.15,2231.05,Yes,2231.05
6745-JEFZB,0,35,5,Month-to-month,Yes,91.5,3236.35,No,3236.35
5020-ZSTTY,1,54,8,One year,No,82.45,4350.1,Yes,4350.1
9880-TDQAC,0,72,6,Two year,Yes,60,4264,No,4264
8705-WZCYL,0,1,2,Month-to-month,Yes,44.8,44.8,No,44.8
7102-JJVTX,0,9,3,One year,No,48.6,422.3,No,422.3
8626-PTQGE,0,69,6,Two year,Yes,60.05,4176.7,No,4176.7
4983-CLMLV,0,52,7,Month-to-month,Yes,102.7,5138.1,No,5138.1
5701-YVSVF,1,11,4,Month-to-month,Yes,82.9,880.05,No,880.05
5804-LEPIM,1,2,2,Month-to-month,Yes,70.35,139.05,Yes,139.05
5697-GOMBF,1,28,2,Month-to-month,Yes,35.9,973.65,No,973.65
2739-CACDQ,1,17,4,Month-to-month,Yes,82.65,1470.05,No,1470.05
9385-EHGDO,0,35,7,Two year,Yes,19.85,739.35,No,739.35
9498-FIMXL,0,8,7,One year,Yes,19.2,161.95,No,161.95
2379-GYFLQ,0,46,6,One year,Yes,94.9,4422.95,No,4422.95
0122-OAHPZ,0,7,3,Month-to-month,Yes,73.85,511.25,Yes,511.25
2868-SNELZ,0,2,4,Month-to-month,No,80.6,155.8,Yes,155.8
4322-RCYMT,0,68,7,One year,Yes,75.8,5293.95,Yes,5293.95
6680-NENYN,0,43,7,Two year,Yes,104.6,4759.85,Yes,4759.85
2088-IEBAU,0,68,9,Two year,Yes,88.15,6148.45,No,6148.45
7982-VCELR,0,36,5,Month-to-month,Yes,94.8,3565.65,No,3565.65
1343-EHPYB,0,63,7,Month-to-month,Yes,103.4,6603,Yes,6603
6035-BXTTY,1,32,4,Month-to-month,No,54.65,1830.1,No,1830.1
6885-PKOAM,0,71,9,Two year,No,85.75,6223.8,No,6223.8
7520-HQWJU,0,66,6,Month-to-month,Yes,67.45,4508.65,No,4508.65
9639-BUJXT,0,63,7,One year,No,20.5,1328.15,No,1328.15
5924-SNGKP,0,41,7,One year,Yes,20.25,865,No,865
0021-IKXGC,1,1,3,Month-to-month,Yes,72.1,72.1,No,72.1
2034-GDRCN,0,2,4,Month-to-month,Yes,90.4,168.2,Yes,168.2
8966-SNIZF,0,70,7,Two year,No,19.45,1303.5,No,1303.5
6243-OZGFH,0,23,3,Month-to-month,Yes,44.95,996.85,No,996.85
4654-DLAMQ,1,64,6,One year,No,97,6430.9,No,6430.9
0513-RBGPE,0,37,6,Two year,Yes,62.8,2278.75,No,2278.75
5160-UXJED,0,17,2,One year,No,44.6,681.4,No,681.4
4115-NZRKS,1,7,4,Month-to-month,Yes,89.15,574.35,No,574.35
0219-YTZUE,0,4,5,Month-to-month,Yes,84.8,371.9,Yes,371.9
