Customer,State,CLV,Coverage,Income,loc_type,monthly_premium,months_last_claim,Months_Since_Policy_Inception,Total_Claim_Amount,Vehicle_Class,avg_vehicle_age
RU83859,California,8110.333139,Premium,11489,Suburban,105,4,50,504,Two-Door Car,48.25212712
NN71951,California,24261.01777,Basic,66525,Rural,100,0,86,104.331355,SUV,67.80855548
SM52139,Washington,2930.693543,Basic,33663,Suburban,73,29,71,350.4,Four-Door Car,45.48281528
FL82372,Oregon,8672.194272,Basic,22547,Suburban,112,7,60,537.6,SUV,39.59372442
DP45816,Arizona,11638.66926,Extended,61486,Urban,97,5,65,465.258644,Two-Door Car,40.68278171
RZ33670,California,11727.77648,Premium,29879,Suburban,102,17,0,500.254235,Four-Door Car,75.69389226
PY70169,Oregon,22643.83478,Basic,93011,Rural,113,17,12,281.451042,SUV,49.95854343
MO91628,Oregon,2614.474305,Basic,65186,Rural,65,29,27,5.434505,Two-Door Car,59.13213372
HW87852,Oregon,2451.752695,Basic,26840,Suburban,64,1,47,307.2,Four-Door Car,50.34668193
BN87372,Oregon,4974.801539,Basic,75644,Suburban,65,5,68,467.803638,Two-Door Car,42.14802598
YX23800,Oregon,8591.604933,Basic,38984,Suburban,73,27,38,350.4,Four-Door Car,49.97399005
DZ87709,Oregon,5592.161392,Basic,71811,Rural,71,17,48,29.03416,Four-Door Car,13.65700265
XW13033,Nevada,8009.472833,Basic,20961,Suburban,67,20,33,321.6,Four-Door Car,62.33108226
LN31673,Washington,11318.08982,Extended,38923,Rural,99,6,83,115.728852,Four-Door Car,39.66323436
OM82309,California,58166.55351,Basic,61321,Rural,186,0,30,427.63121,Luxury Car,47.04483294
VH85817,California,5780.182197,Basic,51066,Suburban,74,23,0,787.993313,Four-Door Car,37.94281083
DT85712,California,4118.539113,Basic,34378,Suburban,102,12,54,489.6,SUV,44.52370521
YJ88573,Nevada,2523.07015,Basic,43072,Suburban,63,35,15,302.4,Four-Door Car,52.57101034
SQ19467,Oregon,6554.216396,Extended,25222,Suburban,90,28,69,475.623251,Four-Door Car,54.98332917
HF88410,Washington,7703.397294,Basic,36765,Suburban,66,15,32,320.849072,Four-Door Car,42.83215157
ET79815,California,5926.729379,Extended,23091,Suburban,96,28,90,460.8,Four-Door Car,46.69089712
QC35222,California,2683.470677,Basic,48269,Urban,69,3,79,282.151207,Four-Door Car,44.44057054
CJ15590,Oregon,2695.182419,Basic,32720,Suburban,67,13,12,321.6,Four-Door Car,61.16019587
OI48267,California,6047.02516,Extended,20396,Suburban,76,15,60,364.8,Four-Door Car,56.15524411
JY67916,Oregon,13171.01282,Premium,21513,Suburban,119,21,81,679.827592,Two-Door Car,39.24802649
OE75231,Washington,10656.88195,Extended,72540,Suburban,88,7,3,631.743039,Two-Door Car,57.25225291
CZ33664,Oregon,2527.653796,Basic,80744,Rural,63,24,84,11.879037,Four-Door Car,32.7356767
WK30175,Oregon,2672.095756,Basic,52822,Suburban,67,23,88,350.529033,Two-Door Car,55.99523231
TV87155,Oregon,20946.19251,Basic,69738,Suburban,74,2,26,492.127532,Four-Door Car,45.18409927
KH48895,Arizona,8375.353929,Basic,17780,Rural,109,12,18,132.588288,SUV,54.55016201
NZ30757,California,4801.661503,Basic,18107,Suburban,62,29,11,297.6,Four-Door Car,44.47598484
RI22468,Arizona,5745.94334,Basic,57740,Urban,74,30,87,269.905129,Four-Door Car,53.2730614
FZ30935,Oregon,6066.115969,Extended,32627,Suburban,76,11,60,380.036697,Two-Door Car,45.33127295
XK64261,Oregon,4762.8179,Basic,65795,Rural,62,2,85,49.011099,Two-Door Car,36.96076923
EV68375,California,4330.38602,Premium,60475,Suburban,107,9,18,513.6,Four-Door Car,55.11312326
TO96662,Oregon,6966.694527,Extended,41837,Rural,88,29,93,142.062768,Four-Door Car,43.44992541
MR52087,California,7694.064293,Basic,32303,Rural,65,13,34,45.152521,Four-Door Car,40.11628515
EP80820,California,5928.748528,Basic,40531,Rural,74,17,32,30.567357,Two-Door Car,59.90841078
GU99037,Oregon,2452.977288,Basic,79898,Urban,62,5,86,271.606799,Four-Door Car,56.93846835
WI57118,California,6701.571657,Extended,56398,Suburban,85,4,18,408,Four-Door Car,60.2023823
YQ74870,Washington,7556.24034,Extended,35257,Suburban,98,16,2,470.4,Four-Door Car,57.79188339
MQ14219,Arizona,8492.6988,Basic,27804,Suburban,109,19,54,784.8,SUV,48.72153683
KN20603,Oregon,7713.494046,Basic,45506,Suburban,66,16,32,316.8,Four-Door Car,58.73194165
CR48975,Washington,24084.5352,Basic,65196,Suburban,67,0,54,396.082036,Four-Door Car,51.74312233
VF72557,Oregon,4772.943848,Extended,20993,Suburban,133,35,90,638.4,SUV,52.0527404
OX28638,Arizona,6806.491395,Extended,37839,Suburban,86,35,77,465.633954,Two-Door Car,47.10555887
SK55033,California,2469.781334,Basic,92711,Suburban,62,24,10,368.400146,Two-Door Car,45.1859327
OO88645,California,3103.923041,Extended,74665,Urban,78,10,90,236.902001,Four-Door Car,49.79836542
CW82151,California,8902.737595,Basic,46833,Rural,112,6,3,64.109663,Sports Car,52.53760186
DY22043,Oregon,5499.447223,Basic,88768,Suburban,68,17,77,326.4,Two-Door Car,76.32933282
SH36774,California,15023.59858,Basic,28262,Suburban,192,9,77,921.6,Luxury SUV,70.368549
EM43724,Nevada,2509.107875,Basic,33555,Rural,63,17,11,101.89645,Four-Door Car,48.1640802
FH85960,Oregon,31221.7481,Premium,42780,Suburban,113,10,27,542.4,Four-Door Car,47.88356427
XA55993,Oregon,3133.503432,Extended,58850,Rural,78,20,26,143.747794,Four-Door Car,44.03937889
GO36627,Arizona,3837.451863,Extended,21880,Urban,97,29,37,424.077159,Four-Door Car,51.47197514
QH48047,Oregon,11790.49617,Basic,25251,Suburban,66,13,43,316.8,Four-Door Car,49.15613737
UH65059,Arizona,4305.808345,Basic,24188,Suburban,109,14,82,523.2,Sports Car,44.4597993
FV21968,Nevada,5973.976904,Basic,41611,Rural,74,14,8,113.801497,Four-Door Car,66.48221235
QA87025,Oregon,5670.442396,Basic,28406,Urban,72,16,35,192.87572,Four-Door Car,38.579962
TQ13499,Arizona,4731.749346,Premium,69833,Suburban,118,32,99,828.662719,Four-Door Car,45.72659371
PU25891,Oregon,9618.310865,Basic,80536,Rural,119,5,83,53.798708,Sports Car,44.80076572
SX26335,Oregon,9552.926922,Extended,97732,Urban,79,0,70,289.9122,Four-Door Car,56.6533695
AZ95587,Arizona,10388.55323,Extended,61222,Urban,89,20,55,392.604371,Four-Door Car,41.67129283
OJ94107,Arizona,5619.068508,Premium,50335,Urban,140,9,54,456.52385,SUV,53.08456193
YV64727,Washington,6692.143668,Premium,63221,Suburban,168,28,49,806.4,SUV,47.13006745
ZU18643,Nevada,3660.770258,Extended,64495,Urban,92,34,30,251.992083,Four-Door Car,41.62595211
XC67861,Arizona,5011.751577,Basic,28859,Suburban,67,24,51,321.6,Two-Door Car,54.2233705
YC43143,Arizona,7988.258292,Extended,77330,Rural,99,0,21,99.257608,Four-Door Car,56.6786031
GD83998,Washington,2659.337982,Basic,24495,Suburban,70,29,65,336,Four-Door Car,63.39318933
WA25797,Washington,8564.768226,Basic,95697,Rural,107,29,29,178.006524,Sports Car,43.74539119
PD27940,Arizona,4885.162511,Extended,26372,Suburban,126,11,7,604.8,SUV,75.51596848
BS77946,Arizona,9753.307106,Extended,17514,Rural,127,2,5,8.312729,SUV,32.39049834
YM50253,California,2946.153697,Basic,89270,Urban,74,17,90,316.599228,Four-Door Car,62.74580743
NR15332,California,2581.110945,Basic,29757,Suburban,65,13,55,312,Four-Door Car,44.06037935
RC62865,Oregon,3517.385764,Extended,51814,Rural,92,28,89,56.300724,Four-Door Car,47.80495107
CC15295,Oregon,9743.350113,Extended,24028,Suburban,82,14,27,393.6,Four-Door Car,28.90647711
KA61892,Arizona,3873.647046,Basic,28142,Suburban,105,18,50,701.708239,Sports Car,41.81008195
OS94884,Arizona,7649.28199,Basic,52705,Rural,64,14,8,128.705563,Two-Door Car,55.81443316
ML93326,Washington,4475.424592,Basic,84903,Urban,111,7,63,497.126827,SUV,44.71403734
JP69864,Washington,2248.449633,Basic,24910,Suburban,63,7,63,347.857619,Four-Door Car,68.43986442
RI78966,Oregon,7771.158973,Basic,21876,Suburban,68,12,28,465.41477,Four-Door Car,52.65227007
HT87217,Oregon,19776.56654,Extended,70699,Urban,82,1,57,256.813837,Four-Door Car,45.21249188
TS19868,California,2413.139714,Basic,27501,Suburban,63,20,0,542.319401,Four-Door Car,60.42538197
LP45550,Oregon,15363.84716,Premium,15897,Urban,101,30,99,303.148399,Four-Door Car,66.5765229
QR87004,Nevada,8456.961887,Basic,25141,Rural,73,12,4,25.438063,Four-Door Car,62.29175553
DX91392,California,5780.182197,Basic,51066,Suburban,74,23,0,787.993313,Four-Door Car,45.52580115
AB72731,California,4639.981638,Basic,28358,Rural,117,24,37,84.024413,Sports Car,49.26706
RU49126,Washington,4465.335703,Basic,61846,Rural,112,1,48,215.8182,SUV,51.20550264
IS12901,Arizona,5968.118877,Basic,90972,Urban,74,3,47,232.926145,Two-Door Car,48.15348695
HH90090,California,4076.634665,Basic,29549,Suburban,104,17,51,710.433775,Sports Car,42.01110672
KC11055,Nevada,16936.27147,Extended,39411,Suburban,217,4,29,1122.658899,Luxury Car,46.0090297
PD33979,Oregon,4892.435461,Basic,21709,Suburban,62,28,17,408.374746,Four-Door Car,54.48180094
NK71023,Nevada,9942.304791,Extended,67890,Suburban,85,23,57,408,Four-Door Car,44.17255288
OZ97704,California,13117.52215,Basic,84311,Suburban,111,11,98,532.8,SUV,44.42838956
UF46533,California,4574.524094,Basic,99316,Suburban,114,26,53,754.358929,SUV,44.77574364
XP47431,Arizona,5470.060561,Extended,54507,Suburban,138,20,11,702.990032,SUV,47.78620299
GK73582,California,2978.84601,Extended,64586,Urban,76,3,17,206.837111,Four-Door Car,46.65360747
RV98763,Oregon,6410.967544,Extended,61709,Urban,82,5,41,275.395894,Four-Door Car,45.0404879
II62831,California,4479.023088,Basic,94656,Urban,111,12,79,459.738128,SUV,55.82510415
TR85083,California,2764.493659,Basic,61085,Suburban,70,27,34,336,Two-Door Car,30.97090199
EO95328,Oregon,7920.105377,Basic,89284,Suburban,67,7,31,321.6,Two-Door Car,46.13570478
YL83902,Washington,3274.194616,Extended,31686,Suburban,81,11,33,430.994107,Four-Door Car,39.4583365
AZ62651,Oregon,9951.707743,Premium,56855,Suburban,255,12,1,1836,Luxury SUV,70.8746217
ZW25874,Oregon,2521.555686,Basic,53703,Rural,67,3,45,67.632476,Four-Door Car,53.97977518
MW70227,California,6047.02516,Extended,20396,Suburban,76,15,60,364.8,Four-Door Car,57.59816098
SL22297,California,11140.30248,Premium,27679,Suburban,150,30,28,722.486994,SUV,65.83501435
RV14138,Nevada,4334.064096,Extended,23904,Suburban,123,1,67,590.4,SUV,64.2529686
UO62808,Arizona,2799.74791,Basic,65351,Suburban,69,4,54,481.027516,Four-Door Car,34.51983888
XX12304,California,2924.976721,Basic,64459,Urban,72,16,64,240.259479,Four-Door Car,59.53402065
SD64087,California,15014.0927,Premium,32961,Suburban,190,13,53,912,SUV,46.6299397
OY38576,Oregon,9277.233839,Basic,71416,Suburban,116,10,0,556.8,SUV,33.68278478
BG76355,Washington,6274.123875,Extended,68964,Rural,78,15,6,115.086827,Four-Door Car,43.19057808
IP66913,California,3886.647414,Extended,78108,Suburban,98,12,34,470.4,Two-Door Car,46.66184949
LE95702,California,4386.277558,Basic,10621,Suburban,67,28,22,321.6,Four-Door Car,50.81889955
KX54357,Washington,11365.26766,Extended,84910,Urban,95,4,69,383.167471,Two-Door Car,43.45195116
EZ78112,California,5610.96434,Basic,77493,Urban,70,2,35,307.963291,Four-Door Car,55.25882713
XN16891,Arizona,2912.892035,Basic,81097,Suburban,74,7,67,355.2,Four-Door Car,51.92902098
XK31350,Oregon,6915.729915,Extended,96610,Suburban,85,6,23,520.364752,Four-Door Car,44.70984591
CC30924,Oregon,6262.663307,Premium,30110,Urban,159,20,71,466.436375,Sports Car,56.28522968
IT78748,Oregon,6503.397049,Extended,22081,Suburban,84,1,9,451.670309,Two-Door Car,61.08065146
CO44221,California,2929.916512,Basic,98473,Suburban,72,19,69,345.6,Four-Door Car,53.02997252
LK60013,Oregon,5969.55297,Basic,97431,Suburban,74,1,72,355.2,Four-Door Car,41.53527971
DE21533,California,5473.15987,Basic,93870,Suburban,69,1,96,331.2,Four-Door Car,44.72791192
YS94121,Nevada,5645.396665,Basic,50366,Suburban,72,9,5,428.734656,Four-Door Car,46.53979781
UK68427,Washington,6369.262355,Extended,34498,Suburban,83,30,72,398.4,Two-Door Car,48.09303475
TE49565,Oregon,11833.76732,Basic,16552,Suburban,103,23,53,494.4,SUV,59.97905945
RA88421,Oregon,6121.107929,Extended,26787,Suburban,77,7,50,369.6,Four-Door Car,64.47243396
CD88896,Nevada,2514.59196,Basic,43860,Rural,65,15,58,156.124914,Four-Door Car,42.66778455
YV22553,Arizona,8668.611261,Basic,21474,Urban,114,13,72,373.428187,SUV,45.8388615
WU14435,California,4960.965384,Basic,18174,Suburban,66,8,16,395.934815,Four-Door Car,44.97775717
RI24911,Arizona,7507.455372,Basic,60920,Urban,64,10,61,231.201886,Two-Door Car,47.55230803
KO26461,Arizona,32269.85139,Extended,41520,Urban,90,18,70,289.904105,Four-Door Car,29.58138843
BH36570,California,5912.783829,Basic,72208,Suburban,73,3,84,350.4,Two-Door Car,49.83653127
TX17484,California,15182.27975,Basic,53863,Rural,63,12,30,105.765111,Four-Door Car,54.04178956
CT41158,Washington,10747.03094,Extended,66446,Urban,136,8,77,639.464548,SUV,54.02539107
DE55857,Washington,2465.444865,Basic,64997,Suburban,63,7,99,383.442328,Four-Door Car,56.8776454
LF66923,Nevada,5343.121327,Basic,64460,Suburban,66,18,42,316.8,Two-Door Car,56.07446306
CN24514,Arizona,8119.829071,Basic,46618,Rural,67,22,77,99.085943,Four-Door Car,69.47269574
HP36979,California,6408.785577,Extended,49988,Suburban,84,6,37,566.935022,Two-Door Car,58.88793134
RO73268,California,3211.070017,Extended,16269,Suburban,86,6,84,412.8,Two-Door Car,38.20651687
HO61691,Arizona,5094.522262,Basic,72006,Suburban,64,4,38,307.2,Four-Door Car,44.28826879
HR10526,California,8044.73072,Basic,44320,Suburban,67,13,79,321.6,Four-Door Car,60.78259348
IA63417,Arizona,4001.519098,Premium,19782,Suburban,108,13,66,773.470977,Two-Door Car,56.16770976
BH35016,Nevada,16706.11699,Basic,63933,Suburban,70,35,98,424.883448,Two-Door Car,46.05068922
PK52952,Arizona,8544.411077,Basic,28224,Suburban,109,13,13,523.2,SUV,39.69888542
OD76309,Washington,7805.31287,Basic,21073,Suburban,106,25,54,508.8,SUV,39.19046244
IL28481,Oregon,6112.756868,Extended,63243,Urban,77,21,73,364.240307,Four-Door Car,46.89076567
GY55092,Nevada,4772.943848,Extended,20993,Suburban,133,35,90,638.4,SUV,55.58294538
UF33451,Oregon,10979.09559,Extended,94827,Urban,135,5,64,354.729129,SUV,54.55343435
CF15558,California,5004.263818,Basic,39161,Urban,63,18,83,283.995953,Two-Door Car,57.30340332
JM62924,Washington,13223.04379,Extended,37534,Suburban,84,2,0,403.2,Four-Door Car,45.72957346
EM66435,Oregon,2623.31543,Basic,80210,Rural,65,30,28,20.543176,Four-Door Car,52.14885323
JI71369,California,5106.111827,Basic,30110,Rural,64,2,4,140.165035,Four-Door Car,36.63984107
JU93290,Arizona,17930.60451,Basic,21708,Suburban,68,28,77,326.4,Four-Door Car,65.96400388
GU66096,Arizona,5457.342569,Basic,94731,Suburban,67,23,65,321.6,Four-Door Car,68.47702855
UC33108,California,6563.644143,Extended,32375,Suburban,83,17,83,398.4,Four-Door Car,50.70023216
LW93867,Oregon,4812.525221,Basic,16531,Rural,63,0,40,102.879769,Four-Door Car,66.52912607
OU78470,Arizona,29328.04185,Extended,32006,Rural,94,28,7,56.868289,Four-Door Car,41.36710478
XW90265,Arizona,5773.520711,Basic,81676,Suburban,72,21,86,463.158502,Two-Door Car,60.96844061
HS67749,California,6847.1189,Extended,71038,Rural,86,15,56,205.444066,Four-Door Car,37.85849675
UI64281,Nevada,22855.61209,Basic,20832,Rural,65,8,32,56.371967,Two-Door Car,70.81068299
AZ74055,Oregon,4115.577437,Premium,52405,Suburban,103,2,27,494.4,Four-Door Car,34.91164132
AY40674,Washington,4821.418454,Extended,26583,Suburban,128,6,46,614.4,SUV,64.23088848
NA12740,Oregon,5004.310469,Basic,25486,Rural,65,15,53,72.438681,Two-Door Car,45.33205819
UA84837,Arizona,8630.053943,Premium,24065,Suburban,111,30,1,532.8,Four-Door Car,57.8638616
DJ51510,Arizona,9322.08512,Premium,70435,Rural,116,0,50,67.881546,Four-Door Car,36.57018749
OH60605,Oregon,3652.532435,Extended,39679,Suburban,92,2,85,641.388616,Two-Door Car,44.304002
LQ13873,Nevada,5569.456156,Basic,53565,Suburban,71,27,34,340.8,Four-Door Car,48.62030638
LA97014,Washington,2576.513006,Basic,37574,Suburban,66,19,14,412.101933,Two-Door Car,59.04584418
NB79936,Washington,8346.983233,Premium,48259,Rural,108,14,79,73.700573,Two-Door Car,55.95594139
NT89061,Arizona,6323.923864,Extended,78532,Suburban,78,25,87,374.4,Four-Door Car,41.49310239
AF10970,Arizona,5973.14343,Basic,96163,Suburban,73,23,90,350.4,Four-Door Car,56.41403561
FE84989,Washington,5035.744643,Basic,72672,Urban,63,7,39,259.361117,Four-Door Car,35.70996988
JT52858,Oregon,9027.867218,Premium,99002,Suburban,112,33,75,537.6,Four-Door Car,52.95887753
MC62068,California,7288.884849,Extended,79494,Urban,91,19,30,396.295614,Four-Door Car,52.20431376
EU27538,Oregon,18042.47942,Extended,35704,Rural,225,21,35,358.281562,Luxury Car,57.59419517
US23612,Oregon,9102.267849,Premium,26049,Rural,118,17,6,121.032372,Two-Door Car,43.7064579
WV76014,Arizona,2540.407726,Basic,70125,Rural,64,21,77,92.813396,Four-Door Car,36.3701589
RK96223,California,12941.89193,Basic,52369,Suburban,110,34,49,528,SUV,49.94633899
FM46980,Arizona,5720.765064,Basic,41770,Suburban,72,0,60,476.156957,Four-Door Car,48.25436867
RF61565,California,2636.97773,Basic,31911,Suburban,67,33,27,321.6,Four-Door Car,51.53278816
IM94808,Nevada,5395.831967,Basic,70051,Rural,68,15,69,42.078345,Four-Door Car,63.406465
VI14730,Oregon,8382.630118,Basic,19683,Suburban,117,17,41,561.6,Sports Car,69.16820242
YR34119,Washington,31161.74523,Basic,30916,Rural,112,7,65,200.11606,SUV,47.18157827
TM23514,Oregon,10272.6082,Extended,60145,Urban,132,8,28,580.473259,SUV,68.70449838
MQ68407,Oregon,4376.363592,Premium,63774,Rural,111,18,63,60.036683,Four-Door Car,56.70145904
GJ59592,California,5318.89664,Basic,25134,Suburban,67,3,0,321.6,Four-Door Car,39.78533667
FY56083,Oregon,4719.762191,Basic,37057,Rural,61,5,48,47.53101,Four-Door Car,58.79358552
UA94723,Oregon,4428.031583,Basic,58577,Urban,110,6,62,303.872752,SUV,47.11240907
FW91032,California,5879.176092,Basic,85857,Rural,73,3,19,100.620067,Four-Door Car,53.39728203
DE34457,Oregon,9416.908485,Basic,70602,Urban,116,8,47,481.339891,SUV,39.0425405
HD32044,Oregon,8288.155579,Premium,33816,Suburban,106,10,97,508.8,Four-Door Car,54.65149516
AH84063,Oregon,4719.450052,Extended,89642,Rural,121,11,20,86.320022,SUV,44.74770683
QA17596,California,3903.474784,Extended,60068,Suburban,98,17,75,470.4,Two-Door Car,52.46154354
XI41052,California,5457.259678,Extended,50044,Suburban,139,16,14,667.2,SUV,36.10749154
DI30528,California,2725.356404,Basic,36650,Rural,69,2,70,56.60333,Four-Door Car,52.25715109
SC66359,Arizona,4433.97368,Basic,50653,Rural,110,29,42,262.865172,SUV,49.16990065
EN61670,Arizona,5332.462694,Basic,68931,Urban,66,32,30,309.577946,Four-Door Car,50.51871563
JE21522,California,9587.33234,Extended,39266,Suburban,80,33,31,384,Four-Door Car,63.38717485
EW38459,Nevada,2567.151468,Basic,40864,Rural,65,2,75,9.51528,Four-Door Car,52.17789002
QW87316,Oregon,2650.622781,Basic,39035,Urban,68,15,65,244.564334,Four-Door Car,54.07372117
IC43478,California,11264.36334,Extended,34923,Suburban,98,23,82,639.105556,Two-Door Car,49.63472099
YM18992,California,2834.646235,Basic,24506,Suburban,71,7,47,511.2,Two-Door Car,63.8115542
KU56006,Arizona,5536.386959,Basic,52220,Suburban,70,17,42,336,Four-Door Car,47.55727953
TW43626,California,8082.880956,Basic,53554,Suburban,67,6,5,327.020539,Four-Door Car,35.71802388
XX84133,California,5254.734278,Basic,34476,Rural,67,23,49,5.3953,Four-Door Car,62.17887483
HO29524,California,3034.646997,Extended,68205,Rural,76,35,14,99.382943,Two-Door Car,69.11634867
GE87503,California,18211.14319,Premium,53690,Suburban,154,20,97,739.2,SUV,45.68431267
FY32213,California,5595.389905,Basic,74454,Suburban,71,25,29,340.8,Four-Door Car,45.2812277
GN45013,Oregon,5385.853211,Basic,29664,Suburban,71,1,69,340.8,Four-Door Car,65.78492466
UB16654,Washington,4718.558501,Basic,15680,Urban,64,20,29,260.879903,Four-Door Car,40.55674659
KU84464,Nevada,9422.567923,Extended,47272,Rural,79,17,17,64.546877,Four-Door Car,35.47857694
YH43527,Oregon,3605.860265,Extended,21585,Suburban,92,35,61,441.6,Four-Door Car,46.63586443
RO30676,California,7762.590564,Premium,23827,Rural,106,18,77,37.910623,Four-Door Car,64.0987933
QL59704,Arizona,23444.90045,Basic,69906,Urban,74,34,32,202.860399,Four-Door Car,38.60239152
HR85211,Washington,5123.170887,Basic,89879,Rural,63,17,20,94.030308,Two-Door Car,60.58327114
WB38524,California,2969.593296,Basic,46131,Suburban,74,27,28,355.2,Two-Door Car,57.07248316
CE56187,Oregon,4363.124641,Basic,54514,Urban,109,5,36,286.234931,SUV,47.72550356
JZ61422,Nevada,5272.191556,Basic,96668,Suburban,66,2,95,316.8,Four-Door Car,42.89833028
LA13377,California,5509.895664,Basic,78879,Suburban,69,9,67,466.570791,Four-Door Car,54.25037836
ES57969,Oregon,2453.570794,Basic,29735,Suburban,69,3,92,331.2,Four-Door Car,40.49198936
JK55587,California,5075.66267,Basic,23082,Suburban,65,18,90,312,Four-Door Car,49.53760588
RN97635,Arizona,3214.979402,Extended,53984,Suburban,80,15,62,421.484456,Four-Door Car,63.09269722
BI76326,California,12275.34309,Premium,52135,Urban,156,6,86,430.505942,SUV,56.47310392
JA34909,California,2722.210707,Basic,17576,Suburban,71,29,70,398.502948,Four-Door Car,60.34908668
OJ90342,Oregon,2457.440923,Basic,29486,Rural,62,19,73,7.646763,Four-Door Car,48.62737615
CM88932,Oregon,3554.845264,Extended,58557,Rural,88,4,83,55.510526,Four-Door Car,61.76661207
